Country_Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Argentina,2015.0,25.0,0.0,17.0,12.0,2.0,31.0,11.0,6.0,32.0,10.0,14.0,0.0,1.0,7.0,4.0,3.0,12.0,0.0,0.0,16.0,11.0,1.0,2.0,0.0,17.0,2.0,1.0
Argentina,2016.0,41.0,0.0,33.0,27.0,14.0,63.0,24.0,25.0,79.0,24.0,26.0,0.0,12.0,6.0,7.0,4.0,19.0,1.0,3.0,18.0,18.0,6.0,4.0,0.0,32.0,7.0,1.0
Argentina,2017.0,58.0,0.0,35.0,36.0,9.0,111.0,47.0,28.0,122.0,25.0,29.0,0.0,8.0,16.0,7.0,1.0,20.0,0.0,2.0,47.0,21.0,7.0,5.0,0.0,50.0,3.0,2.0
Argentina,2018.0,76.0,0.0,37.0,31.0,21.0,134.0,55.0,41.0,179.0,23.0,43.0,1.0,16.0,28.0,9.0,13.0,25.0,0.0,6.0,59.0,30.0,8.0,12.0,4.0,75.0,10.0,3.0
Argentina,2019.0,53.0,0.0,33.0,33.0,16.0,114.0,42.0,36.0,138.0,27.0,35.0,3.0,8.0,28.0,12.0,3.0,22.0,0.0,10.0,45.0,21.0,9.0,5.0,0.0,48.0,4.0,1.0
Argentina,2020.0,46.0,0.0,36.0,38.0,12.0,136.0,46.0,46.0,177.0,44.0,23.0,2.0,9.0,24.0,14.0,3.0,36.0,0.0,20.0,64.0,23.0,11.0,12.0,1.0,67.0,3.0,1.0
Argentina,2021.0,8.0,0.0,6.0,3.0,2.0,13.0,7.0,11.0,18.0,2.0,5.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,4.0,3.0,1.0,2.0,1.0,5.0,0.0,1.0
Australia,2015.0,18.0,0.0,14.0,11.0,3.0,36.0,13.0,5.0,33.0,12.0,11.0,0.0,2.0,3.0,4.0,3.0,10.0,0.0,0.0,17.0,10.0,1.0,2.0,0.0,16.0,0.0,1.0
Australia,2016.0,30.0,0.0,26.0,32.0,11.0,71.0,24.0,20.0,83.0,26.0,25.0,0.0,9.0,6.0,10.0,6.0,14.0,1.0,4.0,27.0,13.0,7.0,3.0,0.0,30.0,6.0,2.0
Australia,2017.0,63.0,0.0,39.0,33.0,11.0,108.0,44.0,36.0,139.0,31.0,30.0,0.0,10.0,11.0,5.0,4.0,21.0,0.0,1.0,49.0,18.0,8.0,5.0,0.0,48.0,6.0,2.0
Australia,2018.0,84.0,0.0,30.0,25.0,20.0,162.0,62.0,42.0,212.0,23.0,33.0,2.0,16.0,38.0,9.0,12.0,30.0,0.0,6.0,76.0,30.0,7.0,10.0,4.0,93.0,8.0,1.0
Australia,2019.0,61.0,0.0,36.0,37.0,18.0,119.0,46.0,38.0,172.0,33.0,36.0,3.0,11.0,28.0,11.0,1.0,25.0,0.0,9.0,56.0,22.0,9.0,4.0,0.0,58.0,9.0,2.0
Australia,2020.0,51.0,0.0,41.0,50.0,11.0,151.0,51.0,50.0,188.0,56.0,36.0,2.0,10.0,30.0,13.0,7.0,42.0,0.0,20.0,78.0,25.0,14.0,15.0,1.0,75.0,4.0,1.0
Australia,2021.0,10.0,0.0,9.0,6.0,2.0,18.0,6.0,9.0,20.0,4.0,6.0,1.0,2.0,1.0,2.0,2.0,5.0,0.0,1.0,8.0,5.0,1.0,3.0,1.0,5.0,0.0,2.0
Belgium,2015.0,30.0,0.0,21.0,14.0,2.0,39.0,14.0,6.0,34.0,14.0,16.0,0.0,2.0,5.0,2.0,2.0,12.0,0.0,0.0,25.0,16.0,1.0,1.0,0.0,27.0,3.0,3.0
Belgium,2016.0,47.0,0.0,37.0,31.0,16.0,71.0,33.0,20.0,89.0,25.0,26.0,0.0,11.0,13.0,8.0,6.0,24.0,1.0,3.0,24.0,25.0,5.0,4.0,0.0,46.0,7.0,4.0
Belgium,2017.0,55.0,0.0,37.0,40.0,12.0,98.0,46.0,26.0,110.0,27.0,33.0,0.0,6.0,16.0,8.0,2.0,24.0,0.0,1.0,41.0,19.0,8.0,6.0,0.0,54.0,4.0,2.0
Belgium,2018.0,77.0,0.0,36.0,31.0,20.0,129.0,55.0,41.0,169.0,24.0,39.0,1.0,12.0,28.0,5.0,11.0,31.0,0.0,6.0,56.0,30.0,7.0,11.0,4.0,79.0,7.0,4.0
Belgium,2019.0,54.0,0.0,36.0,33.0,16.0,117.0,42.0,32.0,136.0,30.0,36.0,3.0,10.0,26.0,8.0,1.0,25.0,0.0,9.0,44.0,21.0,11.0,4.0,0.0,46.0,6.0,0.0
Belgium,2020.0,49.0,0.0,38.0,41.0,9.0,140.0,51.0,45.0,168.0,47.0,26.0,2.0,8.0,21.0,12.0,3.0,36.0,0.0,19.0,68.0,24.0,12.0,13.0,1.0,67.0,2.0,1.0
Belgium,2021.0,10.0,0.0,8.0,3.0,3.0,30.0,12.0,9.0,44.0,6.0,9.0,1.0,4.0,1.0,1.0,0.0,6.0,0.0,1.0,7.0,6.0,3.0,2.0,1.0,11.0,2.0,1.0
Brazil,2015.0,24.0,0.0,17.0,12.0,2.0,34.0,10.0,5.0,33.0,13.0,15.0,0.0,1.0,6.0,4.0,4.0,11.0,0.0,0.0,18.0,11.0,1.0,2.0,0.0,17.0,0.0,1.0
Brazil,2016.0,43.0,0.0,32.0,27.0,14.0,64.0,23.0,23.0,82.0,26.0,27.0,0.0,13.0,7.0,6.0,4.0,19.0,1.0,3.0,20.0,20.0,6.0,4.0,0.0,31.0,8.0,1.0
Brazil,2017.0,55.0,0.0,33.0,34.0,12.0,104.0,43.0,28.0,115.0,25.0,28.0,0.0,7.0,15.0,7.0,1.0,16.0,0.0,2.0,42.0,18.0,7.0,7.0,0.0,48.0,3.0,2.0
Brazil,2018.0,72.0,0.0,37.0,31.0,18.0,126.0,54.0,38.0,172.0,22.0,38.0,1.0,16.0,26.0,9.0,9.0,23.0,0.0,6.0,55.0,30.0,8.0,12.0,4.0,72.0,9.0,3.0
Brazil,2019.0,52.0,0.0,32.0,32.0,16.0,113.0,44.0,37.0,138.0,25.0,33.0,3.0,8.0,27.0,12.0,3.0,23.0,0.0,10.0,46.0,18.0,9.0,5.0,0.0,47.0,4.0,1.0
Brazil,2020.0,46.0,0.0,36.0,39.0,8.0,135.0,44.0,45.0,171.0,44.0,23.0,2.0,7.0,24.0,13.0,3.0,37.0,0.0,20.0,64.0,23.0,11.0,11.0,1.0,67.0,2.0,1.0
Brazil,2021.0,7.0,0.0,6.0,3.0,3.0,13.0,7.0,10.0,21.0,3.0,5.0,1.0,4.0,2.0,1.0,0.0,4.0,0.0,1.0,7.0,3.0,1.0,2.0,1.0,6.0,0.0,1.0
Canada,2015.0,24.0,0.0,17.0,14.0,2.0,36.0,14.0,4.0,35.0,11.0,14.0,0.0,1.0,2.0,4.0,5.0,10.0,0.0,0.0,17.0,10.0,1.0,3.0,0.0,13.0,1.0,1.0
