Genre,2021,2020,2019,2018,2017,2016,2015,Overall
Fantasy,43,239,211,246,163,157,464,1523
Romance,68,531,372,319,238,211,617,2356
Documentary,30,169,159,139,113,78,110,798
Musical,4,43,23,30,22,17,71,210
Adventure,45,263,204,231,179,184,629,1735
Reality-TV,3,63,31,28,17,6,8,156
Family,28,240,166,158,133,113,467,1305
Music,15,83,68,41,39,38,96,380
Film-Noir,2,0,0,0,0,0,0,2
Animation,39,239,204,214,200,165,400,1461
News,0,1,1,4,0,2,6,14
Talk-Show,1,2,1,6,5,1,1,17
Western,3,23,14,11,7,11,34,103
Thriller,89,490,364,357,285,296,801,2682
Sci-Fi,31,199,137,180,115,122,370,1154
Horror,29,223,185,136,91,97,275,1036
Sport,12,72,44,53,40,29,98,348
Biography,21,106,104,74,71,77,170,623
War,13,62,43,37,38,31,97,321
Crime,68,336,267,244,205,213,539,1872
Comedy,149,921,790,735,521,442,1245,4803
History,15,95,91,73,50,56,119,499
Mystery,28,221,182,147,130,117,327,1152
Short,11,52,37,20,20,23,27,190
Adult,0,1,0,2,0,0,0,3
Action,68,402,356,377,308,307,900,2718
Game-Show,2,18,7,8,7,2,5,49
Drama,240,1340,951,796,664,591,1453,6035
