Country Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Argentina,2015,250.0,0.0,199.0,148.0,25.0,352.0,114.0,40.0,318.0,163.0,138.0,0.0,1.0,19.0,38.0,25.0,21.0,60.0,1.0,1.0,138.0,122.0,11.0,33.0,0.0,158.0,16.0,9.0
Argentina,2016,93.0,0.0,65.0,46.0,28.0,141.0,58.0,52.0,174.0,43.0,54.0,0.0,1.0,19.0,24.0,14.0,5.0,40.0,1.0,4.0,42.0,40.0,14.0,11.0,0.0,76.0,12.0,2.0
Argentina,2017,113.0,0.0,79.0,56.0,24.0,231.0,109.0,74.0,281.0,52.0,59.0,0.0,1.0,22.0,36.0,19.0,8.0,54.0,0.0,6.0,88.0,46.0,12.0,13.0,2.0,114.0,9.0,3.0
Argentina,2018,161.0,1.0,82.0,81.0,38.0,315.0,116.0,94.0,357.0,61.0,106.0,0.0,3.0,35.0,57.0,21.0,24.0,62.0,2.0,19.0,111.0,73.0,15.0,23.0,6.0,160.0,19.0,4.0
Argentina,2019,121.0,0.0,72.0,64.0,36.0,283.0,114.0,93.0,343.0,53.0,69.0,0.0,4.0,23.0,64.0,35.0,8.0,69.0,0.0,19.0,125.0,54.0,25.0,16.0,0.0,137.0,9.0,2.0
Argentina,2020,118.0,0.0,86.0,90.0,34.0,315.0,126.0,108.0,442.0,94.0,70.0,0.0,8.0,28.0,64.0,31.0,13.0,81.0,0.0,41.0,161.0,53.0,28.0,28.0,1.0,177.0,12.0,3.0
Argentina,2021,15.0,0.0,11.0,7.0,6.0,29.0,15.0,18.0,39.0,5.0,9.0,1.0,2.0,3.0,2.0,2.0,0.0,7.0,0.0,3.0,10.0,5.0,6.0,4.0,1.0,14.0,1.0,1.0
Australia,2015,225.0,0.0,180.0,138.0,38.0,362.0,127.0,44.0,316.0,156.0,122.0,0.0,0.0,27.0,38.0,24.0,20.0,65.0,2.0,1.0,145.0,103.0,13.0,24.0,0.0,153.0,16.0,7.0
Australia,2016,75.0,0.0,50.0,48.0,32.0,158.0,55.0,52.0,194.0,48.0,54.0,0.0,1.0,22.0,25.0,17.0,7.0,36.0,1.0,5.0,59.0,29.0,16.0,12.0,1.0,70.0,11.0,4.0
Australia,2017,118.0,0.0,76.0,54.0,24.0,240.0,102.0,83.0,293.0,56.0,55.0,0.0,1.0,21.0,31.0,16.0,11.0,49.0,0.0,6.0,92.0,43.0,13.0,12.0,3.0,114.0,12.0,5.0
