Country,Number of Movies
United Kingdom,5243
Czech Republic,5155
Japan,5003
Hungary,4985
Canada,4966
Thailand,4868
Singapore,4860
Romania,4833
Australia,4831
India,4818
Slovakia,4806
United States,4700
Germany,4656
Switzerland,4636
Belgium,4608
South Africa,4590
Lithuania,4561
Russia,4509
Greece,4459
Malaysia,4436
Iceland,4418
France,4379
Hong Kong,4377
Italy,4375
Mexico,4353
Israel,4348
Argentina,4347
Poland,4298
Brazil,4254
Netherlands,4246
Spain,4204
South Korea,4138
Colombia,4125
Turkey,4071
Sweden,4061
Portugal,3934
