Country Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
Argentina,2015,183.0,0.0,129.0,52.0,22.0,256.0,80.0,36.0,224.0,91.0,84.0,0.0,0.0,14.0,29.0,20.0,12.0,34.0,1.0,0.0,113.0,76.0,3.0,30.0,124.0,14.0,8.0
Argentina,2016,60.0,0.0,43.0,16.0,23.0,97.0,42.0,36.0,111.0,26.0,29.0,0.0,0.0,12.0,17.0,11.0,2.0,22.0,1.0,0.0,30.0,14.0,8.0,9.0,55.0,9.0,1.0
Argentina,2017,77.0,0.0,44.0,18.0,19.0,166.0,72.0,48.0,200.0,28.0,34.0,0.0,0.0,18.0,29.0,14.0,5.0,35.0,0.0,0.0,69.0,26.0,6.0,12.0,88.0,9.0,1.0
Argentina,2018,116.0,0.0,57.0,28.0,33.0,233.0,69.0,54.0,251.0,38.0,59.0,0.0,0.0,24.0,41.0,15.0,16.0,35.0,1.0,3.0,83.0,38.0,9.0,17.0,113.0,13.0,4.0
Argentina,2019,83.0,0.0,34.0,22.0,27.0,209.0,56.0,70.0,202.0,32.0,28.0,0.0,0.0,11.0,42.0,26.0,4.0,40.0,0.0,1.0,85.0,23.0,20.0,11.0,86.0,5.0,2.0
Argentina,2020,79.0,0.0,56.0,54.0,26.0,242.0,79.0,64.0,315.0,68.0,38.0,0.0,0.0,12.0,37.0,22.0,10.0,39.0,0.0,1.0,126.0,26.0,21.0,19.0,122.0,10.0,3.0
Argentina,2021,13.0,0.0,8.0,4.0,5.0,21.0,11.0,11.0,30.0,3.0,6.0,1.0,0.0,2.0,2.0,2.0,0.0,5.0,0.0,0.0,7.0,4.0,4.0,4.0,12.0,0.0,1.0
Australia,2015,170.0,0.0,119.0,60.0,33.0,258.0,95.0,36.0,231.0,86.0,81.0,0.0,0.0,21.0,28.0,19.0,14.0,36.0,2.0,0.0,113.0,61.0,5.0,23.0,128.0,15.0,3.0
Australia,2016,45.0,0.0,29.0,18.0,29.0,104.0,38.0,38.0,116.0,28.0,27.0,0.0,0.0,14.0,17.0,14.0,3.0,19.0,1.0,0.0,30.0,5.0,8.0,9.0,52.0,8.0,3.0
Australia,2017,79.0,0.0,42.0,18.0,17.0,168.0,66.0,56.0,202.0,31.0,31.0,0.0,0.0,16.0,22.0,12.0,8.0,29.0,0.0,0.0,67.0,21.0,6.0,10.0,85.0,12.0,3.0
