Genre,2021,2020,2019,2018,2017,2016,2015,Overall
Adventure,34,201,147,187,125,139,504,1337
Sport,11,56,33,41,33,24,90,288
Sci-Fi,22,146,93,136,79,65,294,835
Musical,4,38,18,22,18,11,58,169
Horror,26,185,149,115,73,78,243,869
Fantasy,30,156,133,168,99,92,354,1032
Adult,0,1,0,0,0,0,0,1
Romance,53,417,271,226,173,162,541,1843
Documentary,23,109,128,93,77,54,91,575
Comedy,122,750,638,576,382,339,1016,3823
Reality-TV,0,5,2,3,0,1,0,11
Animation,20,132,95,111,74,76,210,718
Game-Show,0,1,0,0,0,0,0,1
Western,3,22,13,11,5,9,29,92
War,10,52,38,31,33,24,87,275
Short,9,40,28,14,9,13,16,129
Film-Noir,2,0,0,0,0,0,0,2
Action,57,314,289,310,232,230,769,2201
Family,23,187,129,126,96,82,337,980
Biography,19,95,94,67,62,70,164,571
Drama,202,1071,729,616,503,441,1233,4795
News,0,0,1,2,0,2,6,11
Crime,54,262,192,183,156,169,456,1472
Thriller,80,395,296,297,246,247,719,2280
Music,10,70,56,29,28,33,85,311
History,12,67,67,57,40,40,103,386
Mystery,23,150,129,102,94,72,255,825
