Country,2021,2020,2019,2018,2017,2016,2015,Overall
Argentina,26,311,282,263,181,124,201,1388
South Korea,30,317,267,266,186,138,188,1392
Japan,46,387,302,297,217,155,212,1616
Germany,26,345,305,289,178,129,215,1487
South Africa,30,346,312,312,197,171,197,1565
Sweden,28,338,268,264,166,120,194,1378
Iceland,29,331,295,310,195,156,172,1488
Hungary,30,332,301,309,199,158,192,1521
Portugal,28,330,273,269,163,125,204,1392
Slovakia,30,332,301,309,198,159,191,1520
Mexico,26,311,288,260,182,123,202,1392
Netherlands,31,339,273,268,163,128,207,1409
Hong Kong,30,346,293,288,178,136,202,1473
Israel,27,340,315,308,164,137,190,1481
Canada,28,310,298,275,203,176,220,1510
Colombia,26,310,281,262,181,123,200,1383
Malaysia,30,391,345,316,206,162,215,1665
United States,29,326,315,280,207,172,224,1553
Poland,35,338,272,262,163,115,192,1377
France,26,335,284,276,180,129,224,1454
Australia,31,338,323,312,197,156,206,1563
Turkey,28,336,287,266,171,119,183,1390
Czech Republic,30,332,301,308,198,156,192,1517
Brazil,25,314,290,258,173,121,197,1378
Romania,31,333,301,308,166,147,191,1477
Lithuania,28,332,299,309,199,160,196,1523
Russia,28,332,308,311,203,161,190,1533
Spain,29,331,279,273,173,125,208,1418
Belgium,31,336,287,282,173,131,225,1465
Italy,28,335,272,274,162,120,202,1393
Switzerland,27,348,311,302,185,137,235,1545
Thailand,33,386,347,318,190,163,217,1654
United Kingdom,32,357,325,322,198,172,263,1669
India,31,349,336,315,210,183,202,1626
Greece,27,331,300,306,155,150,178,1447
Singapore,32,392,335,318,198,165,214,1654
