Country_Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Argentina,2015.0,7.0,0.0,8.0,11.0,1.0,14.0,6.0,0.0,13.0,8.0,6.0,0.0,1.0,2.0,1.0,0.0,7.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,5.0,1.0,0.0
Argentina,2016.0,13.0,0.0,12.0,15.0,4.0,19.0,6.0,8.0,29.0,8.0,12.0,0.0,6.0,1.0,1.0,3.0,8.0,0.0,3.0,3.0,10.0,3.0,0.0,0.0,6.0,2.0,1.0
Argentina,2017.0,21.0,0.0,14.0,27.0,1.0,26.0,12.0,6.0,31.0,12.0,14.0,0.0,1.0,5.0,2.0,0.0,6.0,0.0,2.0,6.0,10.0,4.0,0.0,0.0,9.0,0.0,1.0
Argentina,2018.0,18.0,0.0,9.0,22.0,0.0,20.0,18.0,14.0,39.0,7.0,13.0,1.0,4.0,9.0,2.0,4.0,6.0,0.0,5.0,6.0,16.0,3.0,2.0,4.0,16.0,2.0,0.0
Argentina,2019.0,15.0,0.0,17.0,20.0,4.0,27.0,19.0,9.0,56.0,8.0,18.0,3.0,5.0,9.0,4.0,1.0,9.0,0.0,10.0,12.0,11.0,2.0,1.0,0.0,16.0,3.0,0.0
Argentina,2020.0,14.0,0.0,12.0,13.0,3.0,31.0,16.0,19.0,53.0,15.0,11.0,2.0,6.0,13.0,5.0,2.0,20.0,0.0,19.0,14.0,12.0,2.0,1.0,1.0,24.0,1.0,0.0
Argentina,2021.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Australia,2015.0,3.0,0.0,7.0,9.0,1.0,18.0,5.0,1.0,12.0,9.0,5.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,4.0,0.0,0.0
Australia,2016.0,12.0,0.0,10.0,18.0,2.0,23.0,7.0,4.0,35.0,10.0,13.0,0.0,3.0,2.0,1.0,4.0,6.0,0.0,4.0,11.0,10.0,4.0,0.0,0.0,5.0,1.0,1.0
Australia,2017.0,21.0,0.0,14.0,25.0,3.0,28.0,10.0,8.0,34.0,14.0,13.0,0.0,2.0,5.0,2.0,0.0,7.0,0.0,1.0,8.0,8.0,4.0,1.0,0.0,10.0,0.0,1.0
Australia,2018.0,16.0,0.0,7.0,19.0,0.0,27.0,17.0,13.0,40.0,8.0,13.0,2.0,4.0,10.0,1.0,3.0,9.0,0.0,6.0,13.0,14.0,3.0,0.0,4.0,17.0,2.0,0.0
Australia,2019.0,17.0,0.0,16.0,23.0,4.0,32.0,21.0,10.0,59.0,8.0,17.0,3.0,5.0,8.0,5.0,1.0,10.0,0.0,9.0,17.0,10.0,2.0,1.0,0.0,16.0,2.0,0.0
Australia,2020.0,15.0,0.0,11.0,13.0,3.0,39.0,17.0,21.0,57.0,15.0,14.0,2.0,7.0,13.0,5.0,2.0,20.0,0.0,19.0,24.0,13.0,2.0,1.0,1.0,25.0,1.0,0.0
Australia,2021.0,0.0,0.0,1.0,2.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Belgium,2015.0,6.0,0.0,9.0,12.0,1.0,17.0,8.0,0.0,16.0,10.0,7.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,8.0,8.0,1.0,0.0,0.0,6.0,0.0,0.0
Belgium,2016.0,18.0,0.0,14.0,21.0,2.0,22.0,7.0,6.0,31.0,9.0,15.0,0.0,3.0,3.0,2.0,4.0,10.0,0.0,3.0,4.0,15.0,3.0,0.0,0.0,7.0,1.0,1.0
Belgium,2017.0,20.0,0.0,15.0,29.0,1.0,23.0,10.0,3.0,22.0,14.0,16.0,0.0,0.0,6.0,2.0,0.0,8.0,0.0,1.0,4.0,8.0,4.0,0.0,0.0,11.0,0.0,1.0
