Genre,2021,2020,2019,2018,2017,2016,2015,Overall
Adventure,11,62,57,44,54,45,125,398
Sport,1,16,11,12,7,5,8,60
Sci-Fi,9,53,44,44,36,57,76,319
Musical,0,5,5,8,4,6,13,41
Horror,3,38,36,21,18,19,32,167
Fantasy,13,83,78,78,64,65,110,491
Adult,0,0,0,2,0,0,0,2
Romance,15,114,101,93,65,49,76,513
Documentary,7,60,31,46,36,24,19,223
Comedy,27,171,152,159,139,103,229,980
Reality-TV,3,58,29,25,17,5,8,145
Animation,19,107,109,103,126,89,190,743
Game-Show,2,17,7,8,7,2,5,48
Western,0,1,1,0,2,2,5,11
War,3,10,5,6,5,7,10,46
Short,2,12,9,6,11,10,11,61
Action,11,88,67,67,76,77,131,517
Family,5,53,37,32,37,31,130,325
Biography,2,11,10,7,9,7,6,52
Talk-Show,1,2,1,6,5,1,1,17
Drama,38,269,222,180,161,150,220,1240
News,0,1,0,2,0,0,0,3
Crime,14,74,75,61,49,44,83,400
Thriller,9,95,68,60,39,49,82,402
Music,5,13,12,12,11,5,11,69
History,3,28,24,16,10,16,16,113
Mystery,5,71,53,45,36,45,72,327
